Squad; Pl;Age;Poss;Playing Time MP;Playing Time Starts;Playing Time Min;Playing Time 90s;Performance Gls;Performance Ast;Performance G+A;Performance G-PK;Performance PK;Performance PKatt;Performance CrdY;Performance CrdR;Per 90 Minutes Gls;Per 90 Minutes Ast;Per 90 Minutes G+A;Per 90 Minutes G-PK;Per 90 Minutes G+A-PK
Augsburg;25;26.2;45.9;18;198;1,62;18.0;20;11;31;19;1;1;50;1;1.11;0.61;1.72;1.06;1.67
Bayern Munich;27;28.4;67.7;18;198;1,62;18.0;68;55;123;62;6;6;33;0;3.78;3.06;6.83;3.44;6.50
Dortmund;23;27.1;53.2;18;198;1,62;18.0;35;26;61;33;2;3;33;2;1.94;1.44;3.39;1.83;3.28
Eintracht Frankfurt;27;25.6;52.7;18;198;1,62;18.0;38;29;67;35;3;3;32;0;2.11;1.61;3.72;1.94;3.56
Freiburg;24;27.6;51.2;18;198;1,62;18.0;27;13;40;22;5;5;31;2;1.50;0.72;2.22;1.22;1.94
Gladbach;26;26.6;45.7;18;198;1,62;18.0;21;16;37;18;3;5;23;1;1.17;0.89;2.06;1.00;1.89
Hamburger SV;27;26.5;46.9;17;187;1,53;17.0;17;13;30;17;0;2;40;6;1.00;0.76;1.76;1.00;1.76
Heidenheim;26;27.4;42.9;18;198;1,62;18.0;17;12;29;17;0;0;31;1;0.94;0.67;1.61;0.94;1.61
Hoffenheim;23;27.1;53.6;17;187;1,53;17.0;33;25;58;30;3;3;32;0;1.94;1.47;3.41;1.76;3.24
Köln;25;25.8;47.6;18;198;1,62;18.0;27;18;45;26;1;1;31;1;1.50;1.00;2.50;1.44;2.44
Leverkusen;27;26.7;59.6;17;187;1,53;17.0;34;22;56;30;4;4;41;2;2.00;1.29;3.29;1.76;3.06
Mainz 05;28;28.7;45.1;18;198;1,62;18.0;18;12;30;15;3;3;42;5;1.00;0.67;1.67;0.83;1.50
RB Leipzig;26;25.9;50.6;17;187;1,53;17.0;32;24;56;31;1;2;25;0;1.88;1.41;3.29;1.82;3.24
St Pauli;21;27.7;46.4;17;187;1,53;17.0;16;12;28;15;1;2;29;1;0.94;0.71;1.65;0.88;1.59
Stuttgart;26;25.8;56.8;18;198;1,62;18.0;33;27;60;30;3;4;34;1;1.83;1.50;3.33;1.67;3.17
Union Berlin;22;27.7;38.7;18;198;1,62;18.0;24;15;39;24;0;2;40;2;1.33;0.83;2.17;1.33;2.17
Werder Bremen;25;25.5;49.2;17;187;1,53;17.0;21;16;37;19;2;3;44;3;1.24;0.94;2.18;1.12;2.06
Wolfsburg;27;26.0;47.3;18;198;1,62;18.0;27;22;49;25;2;2;35;1;1.50;1.22;2.72;1.39;2.61
