Rk;Squad;Home MP;Home W;Home D;Home L;Home GF;Home GA;Home GD;Home Pts;Home Pts/MP;Home xG;Home xGA;Home xGD;Home xGD/90;Away MP;Away W;Away D;Away L;Away GF;Away GA;Away GD;Away Pts;Away Pts/MP;Away xG;Away xGA;Away xGD;Away xGD/90
1;Bayern Munich;9;8;1;0;39;7;32;25;2.78;25.3;6.6;+18.7;+2.08;9;8;1;0;32;7;25;25;2.78;21.6;5.3;+16.3;+2.33
2;Dortmund;9;7;2;0;19;6;13;23;2.56;12.3;6.4;+5.9;+0.84;9;4;4;1;16;11;5;16;1.78;13.0;9.8;+3.2;+0.35
3;Hoffenheim;9;6;0;3;21;12;9;18;2.00;10.9;10.9;-0.1;-0.01;8;4;3;1;14;9;5;15;1.88;11.6;11.7;0.0;-0.01
4;Stuttgart;9;6;2;1;13;11;2;20;2.22;10.3;10.0;+0.3;+0.04;9;4;1;4;20;15;5;13;1.44;14.1;12.3;+1.8;+0.20
5;RB Leipzig;9;7;0;2;22;11;11;21;2.33;16.3;9.6;+6.6;+0.95;8;3;2;3;11;13;-2;11;1.38;11.6;11.1;+0.5;+0.07
6;Leverkusen;9;5;1;3;19;10;9;16;1.78;16.9;7.6;+9.3;+1.03;8;4;1;3;15;15;0;13;1.63;12.1;12.8;-0.7;-0.09
7;Eintracht Frankfurt;8;4;2;2;15;12;3;14;1.75;12.6;9.0;+3.6;+0.45;10;3;4;3;23;27;-4;13;1.30;11.2;12.7;-1.4;-0.18
8;Freiburg;8;4;3;1;16;10;6;15;1.88;15.8;7.2;+8.6;+1.08;10;2;3;5;13;21;-8;9;0.90;10.7;13.2;-2.4;-0.30
9;Union Berlin;9;3;4;2;15;13;2;13;1.44;12.9;10.9;+2.1;+0.23;9;3;2;4;9;14;-5;11;1.22;7.8;10.1;-2.3;-0.33
10;Köln;9;3;2;4;17;15;2;11;1.22;11.0;8.4;+2.5;+0.36;9;2;3;4;10;15;-5;9;1.00;12.6;17.1;-4.4;-0.49
11;Gladbach;9;2;3;4;12;17;-5;9;1.00;12.4;16.5;-4.1;-0.46;9;3;2;4;11;12;-1;11;1.22;9.8;7.1;+2.7;+0.38
12;Wolfsburg;10;2;3;5;16;21;-5;9;0.90;11.6;14.9;-3.3;-0.42;8;3;1;4;11;17;-6;10;1.25;10.3;13.5;-3.2;-0.41
13;Werder Bremen;8;3;3;2;11;15;-4;12;1.50;10.1;9.6;+0.5;+0.08;9;1;3;5;10;19;-9;6;0.67;7.5;16.5;-9.0;-1.12
14;Hamburger SV;9;4;3;2;13;9;4;15;1.67;10.7;9.4;+1.4;+0.17;8;0;2;6;4;18;-14;2;0.25;8.0;15.6;-7.6;-0.95
15;Augsburg;10;3;3;4;12;18;-6;12;1.20;9.3;14.5;-5.2;-0.65;8;1;1;6;8;17;-9;4;0.50;9.2;14.3;-5.0;-0.63
16;Heidenheim;9;2;3;4;10;19;-9;9;1.00;11.9;18.5;-6.6;-0.73;9;1;1;7;7;20;-13;4;0.44;8.7;12.6;-3.9;-0.56
17;Mainz 05;9;1;3;5;7;12;-5;6;0.67;9.9;12.3;-2.4;-0.30;9;1;3;5;11;19;-8;6;0.67;8.2;18.8;-10.5;-1.32
18;St Pauli;7;2;1;4;8;15;-7;7;1.00;7.2;10.8;-3.7;-0.53;10;1;2;7;8;16;-8;;;;;;
