Time Casa (10 últimos jogos do Campeonato);;;;;;
;Casa;Fora;Global;;;
Média de gols marcados por jogo;2.33;1.67;2;;;
Média de gols sofridos por jogo;1.67;1.67;1.67;;;
Média de gols marcados+sofridos;4;3.34;3.67;;;
Jogos sem sofrer;33%;-;17%;;;
Jogos sem marcar gols;-;33%;17%;;;
Jogos com Mais de 2,5 Gols;33%;67%;50%;;;
Jogos com menos de 2,5 Gols;67%;33%;50%;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Time Fora (10 últimos jogos do Campeonato);;;;;;
;Casa;Fora;Global;;;
Média de gols marcados por jogo;1.4;0.8;1.1;;;
Média de gols sofridos por jogo;0.8;0.8;0.8;;;
Média de gols marcados+sofridos;2.2;1.6;1.9;;;
Jogos sem sofrer;60%;60%;60%;;;
Jogos sem marcar gols;20%;60%;40%;;;
Jogos com Mais de 2,5 Gols;20%;20%;20%;;;
Jogos com menos de 2,5 Gols;80%;80%;80%;;;
